# sizeof probe, x86_64, limit 65507 B (tt_MAX_BUFFER_LENGTH)
example_interfaces/msg/WString	-	NOT_GENERATED	UnsupportedFieldError: field 'data': wstring is out of scope
rcl_interfaces/srv/ListParameters_Response	136	CREATE_OK	max_wire_size 36
rcl_interfaces/srv/SetLoggerLevels_Request	100	CREATE_OK	max_wire_size 68
rcl_interfaces/srv/SetLoggerLevels_Response	100	CREATE_OK	max_wire_size 34
rcl_interfaces/srv/SetParameters_Request	644	CREATE_OK	max_wire_size 484
rcl_interfaces/srv/SetParameters_Response	100	CREATE_OK	max_wire_size 34
rcl_interfaces/srv/SetParametersAtomically_Request	644	CREATE_OK	max_wire_size 484
rcl_interfaces/srv/SetParametersAtomically_Response	12	CREATE_OK	max_wire_size 4
rosgraph_msgs/msg/Action	656	CREATE_OK	max_wire_size 568
rosgraph_msgs/msg/Clock	8	CREATE_OK	max_wire_size 8
rosgraph_msgs/msg/Graph	23812	CREATE_OK	max_wire_size 20354
rosgraph_msgs/msg/InterfaceType	44	CREATE_OK	max_wire_size 35
rosgraph_msgs/msg/Node	2976	CREATE_OK	max_wire_size 2544
rosgraph_msgs/msg/QoSProfile	32	CREATE_OK	max_wire_size 32
rosgraph_msgs/msg/Service	160	CREATE_OK	max_wire_size 140
rosgraph_msgs/msg/Topic	84	CREATE_OK	max_wire_size 72
rosgraph_msgs/msg/TypeHash	33	CREATE_OK	max_wire_size 33
sensor_msgs/msg/BatteryState	584	CREATE_OK	max_wire_size 568
sensor_msgs/msg/CameraInfo	368	CREATE_OK	max_wire_size 353
sensor_msgs/msg/ChannelFloat32	8204	CREATE_OK	max_wire_size 8196
sensor_msgs/msg/CompressedImage	48028	CREATE_OK	max_wire_size 48014
sensor_msgs/msg/FluidPressure	32	CREATE_OK	max_wire_size 28
sensor_msgs/msg/Illuminance	32	CREATE_OK	max_wire_size 28
sensor_msgs/msg/Image	64044	CREATE_OK	max_wire_size 64030
sensor_msgs/msg/Imu	312	CREATE_OK	max_wire_size 308
sensor_msgs/msg/JointState	800	CREATE_OK	max_wire_size 648
sensor_msgs/msg/Joy	280	CREATE_OK	max_wire_size 272
sensor_msgs/msg/JoyFeedback	8	CREATE_OK	max_wire_size 8
sensor_msgs/msg/JoyFeedbackArray	516	CREATE_OK	max_wire_size 516
sensor_msgs/msg/LaserEcho	20	CREATE_OK	max_wire_size 20
sensor_msgs/msg/LaserScan	32820	CREATE_OK	max_wire_size 32816
sensor_msgs/msg/MagneticField	112	CREATE_OK	max_wire_size 108
sensor_msgs/msg/MultiDOFJointState	1312	CREATE_OK	max_wire_size 1256
sensor_msgs/msg/MultiEchoLaserScan	41012	CREATE_OK	max_wire_size 41004
sensor_msgs/msg/NavSatFix	120	CREATE_OK	max_wire_size 113
sensor_msgs/msg/NavSatStatus	4	CREATE_OK	max_wire_size 4
sensor_msgs/msg/PointCloud	41008	CREATE_OK	max_wire_size 40982
sensor_msgs/msg/PointCloud2	64204	CREATE_OK	max_wire_size 64167
sensor_msgs/msg/PointField	20	CREATE_OK	max_wire_size 16
sensor_msgs/msg/Range	40	CREATE_OK	max_wire_size 32
sensor_msgs/msg/RegionOfInterest	20	CREATE_OK	max_wire_size 17
sensor_msgs/msg/RelativeHumidity	32	CREATE_OK	max_wire_size 28
sensor_msgs/msg/Temperature	32	CREATE_OK	max_wire_size 28
sensor_msgs/msg/TimeReference	32	CREATE_OK	max_wire_size 22
sensor_msgs/srv/SetCameraInfo_Request	368	CREATE_OK	max_wire_size 353
sensor_msgs/srv/SetCameraInfo_Response	12	CREATE_OK	max_wire_size 4
service_msgs/msg/ServiceEventInfo	36	CREATE_OK	max_wire_size 36
shape_msgs/msg/Mesh	36872	CREATE_OK	max_wire_size 36872
shape_msgs/msg/MeshTriangle	12	CREATE_OK	max_wire_size 12
shape_msgs/msg/Plane	32	CREATE_OK	max_wire_size 32
shape_msgs/msg/SolidPrimitive	1376	CREATE_OK	max_wire_size 1376
statistics_msgs/msg/MetricsMessage	428	CREATE_OK	max_wire_size 412
statistics_msgs/msg/StatisticDataPoint	12	CREATE_OK	max_wire_size 12
statistics_msgs/msg/StatisticDataType	1	CREATE_OK	max_wire_size 0
std_msgs/msg/Bool	1	CREATE_OK	max_wire_size 1
std_msgs/msg/Byte	1	CREATE_OK	max_wire_size 1
std_msgs/msg/ByteMultiArray	16460	CREATE_OK	max_wire_size 16442
std_msgs/msg/Char	1	CREATE_OK	max_wire_size 1
std_msgs/msg/ColorRGBA	16	CREATE_OK	max_wire_size 16
std_msgs/msg/Empty	1	CREATE_OK	max_wire_size 0
std_msgs/msg/Float32	4	CREATE_OK	max_wire_size 4
std_msgs/msg/Float32MultiArray	16460	CREATE_OK	max_wire_size 16444
std_msgs/msg/Float64	8	CREATE_OK	max_wire_size 8
std_msgs/msg/Float64MultiArray	16460	CREATE_OK	max_wire_size 16444
std_msgs/msg/Header	16	CREATE_OK	max_wire_size 10
std_msgs/msg/Int16	2	CREATE_OK	max_wire_size 2
std_msgs/msg/Int16MultiArray	16460	CREATE_OK	max_wire_size 16442
std_msgs/msg/Int32	4	CREATE_OK	max_wire_size 4
