=== rmw cross-host RTT, 2026-09-26T19:58:49+09:00, SHA 75e39a61b61288f100526d84051d44b5bf96d61d, 3 reps, msgs: bench array1k, spin arms: off, trace: 0, waits: poll block, sysstamp arms: off ===
--- building rmw_tickle + rmw_perf_pingpong (Release) at 75e39a61b61288f100526d84051d44b5bf96d61d on both rpis ---
built on tickle-testbed-rpi-0 at 75e39a61
built on tickle-testbed-rpi-1 at 75e39a61
rmw_tickle array1k reliable rep1 wait=block | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.257 rtt_avg_ms=0.273 rtt_max_ms=0.584 LOOP: iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.00 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=35110571 pong_maxrss_kb=11784
rmw_fastrtps_cpp array1k reliable rep1 wait=block | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.332 rtt_avg_ms=0.349 rtt_max_ms=0.605 LOOP: iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=24080  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=59688135 pong_maxrss_kb=23740
rmw_cyclonedds_cpp array1k reliable rep1 wait=block | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.260 rtt_avg_ms=0.282 rtt_max_ms=0.862 LOOP: iterations_per_rtt=1.01 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.03 ping_maxrss_kb=14720  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=47886080 pong_maxrss_kb=14536
rmw_tickle bench best_effort rep2 wait=poll | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.450 rtt_avg_ms=0.502 rtt_max_ms=0.703 LOOP: iterations_per_rtt=3.01 spin_some_us=5.5 sleep_us=156.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=34693138 pong_maxrss_kb=11760
rmw_fastrtps_cpp bench best_effort rep2 wait=poll | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.411 rtt_avg_ms=0.469 rtt_max_ms=0.765 LOOP: iterations_per_rtt=2.01 spin_some_us=57.1 sleep_us=157.7 ping_utime_s=0.04 ping_stime_s=0.02 ping_maxrss_kb=23888  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=55654122 pong_maxrss_kb=23628
rmw_cyclonedds_cpp bench best_effort rep2 wait=poll | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.376 rtt_avg_ms=0.426 rtt_max_ms=0.524 LOOP: iterations_per_rtt=2.00 spin_some_us=44.3 sleep_us=156.5 ping_utime_s=0.01 ping_stime_s=0.03 ping_maxrss_kb=14848  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=42431394 pong_maxrss_kb=14524
rmw_tickle bench best_effort rep2 wait=block | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.225 rtt_avg_ms=0.251 rtt_max_ms=0.592 LOOP: iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.02 pong_cpu_ns=34781818 pong_maxrss_kb=11756
rmw_fastrtps_cpp bench best_effort rep2 wait=block | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.293 rtt_avg_ms=0.315 rtt_max_ms=0.593 LOOP: iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23892  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=56881115 pong_maxrss_kb=23608
rmw_cyclonedds_cpp bench best_effort rep2 wait=block | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.251 rtt_avg_ms=0.269 rtt_max_ms=0.366 LOOP: iterations_per_rtt=1.01 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=14844  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=44242989 pong_maxrss_kb=14516
rmw_tickle bench reliable rep2 wait=poll | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.459 rtt_avg_ms=0.504 rtt_max_ms=0.731 LOOP: iterations_per_rtt=3.01 spin_some_us=5.8 sleep_us=156.3 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=34340263 pong_maxrss_kb=11792
rmw_fastrtps_cpp bench reliable rep2 wait=poll | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.437 rtt_avg_ms=0.498 rtt_max_ms=0.775 LOOP: iterations_per_rtt=2.04 spin_some_us=65.3 sleep_us=157.4 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23768  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=61132055 pong_maxrss_kb=23636
rmw_cyclonedds_cpp bench reliable rep2 wait=poll | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.398 rtt_avg_ms=0.432 rtt_max_ms=0.943 LOOP: iterations_per_rtt=2.02 spin_some_us=42.1 sleep_us=156.3 ping_utime_s=0.02 ping_stime_s=0.02 ping_maxrss_kb=14848  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=47715243 pong_maxrss_kb=14556
rmw_tickle bench reliable rep2 wait=block | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.236 rtt_avg_ms=0.250 rtt_max_ms=0.621 LOOP: iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=34909606 pong_maxrss_kb=11792
rmw_fastrtps_cpp bench reliable rep2 wait=block | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.289 rtt_avg_ms=0.330 rtt_max_ms=0.612 LOOP: iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23756  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=61257611 pong_maxrss_kb=23636
rmw_cyclonedds_cpp bench reliable rep2 wait=block | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.235 rtt_avg_ms=0.267 rtt_max_ms=0.741 LOOP: iterations_per_rtt=1.01 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.02 ping_stime_s=0.03 ping_maxrss_kb=14848  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=47795810 pong_maxrss_kb=14552
rmw_tickle array1k best_effort rep2 wait=poll | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.464 rtt_avg_ms=0.505 rtt_max_ms=0.723 LOOP: iterations_per_rtt=3.01 spin_some_us=6.4 sleep_us=156.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.02 pong_cpu_ns=35175208 pong_maxrss_kb=11760
rmw_fastrtps_cpp array1k best_effort rep2 wait=poll | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.451 rtt_avg_ms=0.510 rtt_max_ms=0.793 LOOP: iterations_per_rtt=2.06 spin_some_us=71.2 sleep_us=158.1 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=24144  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=58488902 pong_maxrss_kb=23732
rmw_cyclonedds_cpp array1k best_effort rep2 wait=poll | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.405 rtt_avg_ms=0.446 rtt_max_ms=0.688 LOOP: iterations_per_rtt=2.02 spin_some_us=53.8 sleep_us=154.7 ping_utime_s=0.02 ping_stime_s=0.02 ping_maxrss_kb=14848  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=43331247 pong_maxrss_kb=14516
rmw_tickle array1k best_effort rep2 wait=block | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.254 rtt_avg_ms=0.269 rtt_max_ms=0.602 LOOP: iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.00 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.02 pong_cpu_ns=35300360 pong_maxrss_kb=11764
rmw_fastrtps_cpp array1k best_effort rep2 wait=block | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.325 rtt_avg_ms=0.368 rtt_max_ms=0.632 LOOP: iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23996  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=58769069 pong_maxrss_kb=23728
rmw_cyclonedds_cpp array1k best_effort rep2 wait=block | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.268 rtt_avg_ms=0.295 rtt_max_ms=0.380 LOOP: iterations_per_rtt=1.01 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=14592  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=43263547 pong_maxrss_kb=14536
rmw_tickle array1k reliable rep2 wait=poll | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.459 rtt_avg_ms=0.509 rtt_max_ms=0.908 LOOP: iterations_per_rtt=3.02 spin_some_us=6.0 sleep_us=156.4 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=36006127 pong_maxrss_kb=11784
rmw_fastrtps_cpp array1k reliable rep2 wait=poll | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.462 rtt_avg_ms=0.517 rtt_max_ms=0.792 LOOP: iterations_per_rtt=2.07 spin_some_us=71.8 sleep_us=156.8 ping_utime_s=0.02 ping_stime_s=0.04 ping_maxrss_kb=24080  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=60490933 pong_maxrss_kb=23740
rmw_cyclonedds_cpp array1k reliable rep2 wait=poll | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.400 rtt_avg_ms=0.442 rtt_max_ms=1.156 LOOP: iterations_per_rtt=2.04 spin_some_us=44.5 sleep_us=156.5 ping_utime_s=0.02 ping_stime_s=0.02 ping_maxrss_kb=14848  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=46929169 pong_maxrss_kb=14552
rmw_tickle array1k reliable rep2 wait=block | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.249 rtt_avg_ms=0.273 rtt_max_ms=0.549 LOOP: iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.02 pong_cpu_ns=35084230 pong_maxrss_kb=11772
rmw_fastrtps_cpp array1k reliable rep2 wait=block | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.333 rtt_avg_ms=0.351 rtt_max_ms=0.612 LOOP: iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=24084  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=61879676 pong_maxrss_kb=23736
rmw_cyclonedds_cpp array1k reliable rep2 wait=block | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.260 rtt_avg_ms=0.282 rtt_max_ms=0.841 LOOP: iterations_per_rtt=1.01 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.02 ping_stime_s=0.03 ping_maxrss_kb=14848  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=48831161 pong_maxrss_kb=14556
rmw_tickle bench best_effort rep3 wait=poll | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.459 rtt_avg_ms=0.505 rtt_max_ms=0.735 LOOP: iterations_per_rtt=3.01 spin_some_us=6.0 sleep_us=156.1 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.02 pong_cpu_ns=34467860 pong_maxrss_kb=11760
rmw_fastrtps_cpp bench best_effort rep3 wait=poll | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.420 rtt_avg_ms=0.468 rtt_max_ms=0.761 LOOP: iterations_per_rtt=2.01 spin_some_us=57.1 sleep_us=157.9 ping_utime_s=0.03 ping_stime_s=0.02 ping_maxrss_kb=23884  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=56394281 pong_maxrss_kb=23600
rmw_cyclonedds_cpp bench best_effort rep3 wait=poll | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.377 rtt_avg_ms=0.428 rtt_max_ms=0.673 LOOP: iterations_per_rtt=2.01 spin_some_us=43.8 sleep_us=156.4 ping_utime_s=0.02 ping_stime_s=0.02 ping_maxrss_kb=14592  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=44035826 pong_maxrss_kb=14540
