=== rmw cross-host RTT, 2026-09-26T21:17:41+09:00, SHA 099374d2c3fbdefcc83b9576fb61a4dcbcca4c50, 3 reps, msgs: bench array1k, spin arms: off, trace: 0, waits: poll, poll sleeps: 0 50 100 200, sysstamp arms: off ===
--- building rmw_tickle + rmw_perf_pingpong (Release) at 099374d2c3fbdefcc83b9576fb61a4dcbcca4c50 on both rpis ---
built on tickle-testbed-rpi-0 at 099374d2
built on tickle-testbed-rpi-1 at 099374d2
rmw_tickle bench reliable rep1 poll_sleep_us=200 | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.506 rtt_avg_ms=0.550 rtt_max_ms=0.860 LOOP: poll_sleep_us=200 iterations_per_rtt=2.03 spin_some_us=7.1 sleep_us=255.8 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.02 pong_cpu_ns=35584055 pong_maxrss_kb=11732
rmw_fastrtps_cpp bench reliable rep1 poll_sleep_us=200 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.645 rtt_avg_ms=0.668 rtt_max_ms=1.061 LOOP: poll_sleep_us=200 iterations_per_rtt=2.01 spin_some_us=49.8 sleep_us=259.7 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23896  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=59172200 pong_maxrss_kb=23624
rmw_cyclonedds_cpp bench reliable rep1 poll_sleep_us=200 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.588 rtt_avg_ms=0.633 rtt_max_ms=1.313 LOOP: poll_sleep_us=200 iterations_per_rtt=2.02 spin_some_us=41.3 sleep_us=256.0 ping_utime_s=0.02 ping_stime_s=0.03 ping_maxrss_kb=14720  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=49243809 pong_maxrss_kb=14548
rmw_tickle array1k best_effort rep1 poll_sleep_us=0 | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.252 rtt_avg_ms=0.269 rtt_max_ms=0.626 LOOP: poll_sleep_us=0 iterations_per_rtt=108.71 spin_some_us=2.1 sleep_us=0.1 ping_utime_s=0.04 ping_stime_s=0.01 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=35189351 pong_maxrss_kb=11720
rmw_fastrtps_cpp array1k best_effort rep1 poll_sleep_us=0 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.321 rtt_avg_ms=0.339 rtt_max_ms=0.671 LOOP: poll_sleep_us=0 iterations_per_rtt=4.20 spin_some_us=71.7 sleep_us=0.1 ping_utime_s=0.04 ping_stime_s=0.03 ping_maxrss_kb=23964  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=56669256 pong_maxrss_kb=23732
rmw_cyclonedds_cpp array1k best_effort rep1 poll_sleep_us=0 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.276 rtt_avg_ms=0.295 rtt_max_ms=0.545 LOOP: poll_sleep_us=0 iterations_per_rtt=4.32 spin_some_us=62.0 sleep_us=0.1 ping_utime_s=0.01 ping_stime_s=0.03 ping_maxrss_kb=14976  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=43114707 pong_maxrss_kb=14524
rmw_tickle array1k best_effort rep1 poll_sleep_us=50 | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.381 rtt_avg_ms=0.463 rtt_max_ms=0.738 LOOP: poll_sleep_us=50 iterations_per_rtt=4.01 spin_some_us=5.4 sleep_us=105.5 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11136  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=34193232 pong_maxrss_kb=11716
rmw_fastrtps_cpp array1k best_effort rep1 poll_sleep_us=50 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.405 rtt_avg_ms=0.539 rtt_max_ms=0.849 LOOP: poll_sleep_us=50 iterations_per_rtt=3.00 spin_some_us=57.9 sleep_us=109.2 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23868  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=57068781 pong_maxrss_kb=23732
rmw_cyclonedds_cpp array1k best_effort rep1 poll_sleep_us=50 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.381 rtt_avg_ms=0.485 rtt_max_ms=0.550 LOOP: poll_sleep_us=50 iterations_per_rtt=2.97 spin_some_us=49.2 sleep_us=105.6 ping_utime_s=0.02 ping_stime_s=0.02 ping_maxrss_kb=14592  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=42867958 pong_maxrss_kb=14536
rmw_tickle array1k best_effort rep1 poll_sleep_us=100 | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.466 rtt_avg_ms=0.509 rtt_max_ms=0.839 LOOP: poll_sleep_us=100 iterations_per_rtt=3.03 spin_some_us=6.1 sleep_us=156.2 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11136  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=35387471 pong_maxrss_kb=11712
