=== COMPARISON.MD native re-sweep, 2026-09-24T22:54:39+09:00, 3 reps, main 659013e9cf85beb646e625f35693eae0c37e431b ===
--- deploying 659013e9cf85beb646e625f35693eae0c37e431b and building every scenario for all three frameworks on both rpis ---
659013e9cf85beb646e625f35693eae0c37e431b client / 659013e9cf85beb646e625f35693eae0c37e431b server

=== A: section 3 scenarios ===
A lifespan_pause_1_0 rep1 fastdds | leftover_before=none | RESULT: framework=fastdds scenario=lifespan_expiry role=client sent=250 RESULT: framework=fastdds scenario=lifespan_expiry role=server pause_s=1.000 recv=211 lost=39 loss_pct=15.6 
A lifespan_pause_1_0 rep2 tickle | leftover_before=none | RESULT: framework=tickle scenario=lifespan_expiry role=client sent=250 RESULT: framework=tickle scenario=lifespan_expiry role=server pause_s=1.00 recv=250 lost=0 loss_pct=0.0 
A lifespan_pause_1_0 rep2 cyclonedds | leftover_before=none | RESULT: framework=cyclonedds scenario=lifespan_expiry role=client sent=250 RESULT: framework=cyclonedds scenario=lifespan_expiry role=server pause_s=1.000 recv=205 lost=45 loss_pct=18.0 
A lifespan_pause_1_0 rep2 fastdds | leftover_before=none | RESULT: framework=fastdds scenario=lifespan_expiry role=client sent=250 RESULT: framework=fastdds scenario=lifespan_expiry role=server pause_s=1.000 recv=211 lost=39 loss_pct=15.6 
A lifespan_pause_1_0 rep3 tickle | leftover_before=none | RESULT: framework=tickle scenario=lifespan_expiry role=client sent=250 RESULT: framework=tickle scenario=lifespan_expiry role=server pause_s=1.00 recv=250 lost=0 loss_pct=0.0 
A lifespan_pause_1_0 rep3 cyclonedds | leftover_before=none | RESULT: framework=cyclonedds scenario=lifespan_expiry role=client sent=250 RESULT: framework=cyclonedds scenario=lifespan_expiry role=server pause_s=1.000 recv=205 lost=45 loss_pct=18.0 
A lifespan_pause_1_0 rep3 fastdds | leftover_before=none | RESULT: framework=fastdds scenario=lifespan_expiry role=client sent=250 RESULT: framework=fastdds scenario=lifespan_expiry role=server pause_s=1.000 recv=211 lost=39 loss_pct=15.6 
A lifespan_pause_1_5 rep1 tickle | leftover_before=none | RESULT: framework=tickle scenario=lifespan_expiry role=client sent=250 RESULT: framework=tickle scenario=lifespan_expiry role=server pause_s=1.50 recv=250 lost=0 loss_pct=0.0 
A lifespan_pause_1_5 rep1 cyclonedds | leftover_before=none | RESULT: framework=cyclonedds scenario=lifespan_expiry role=client sent=250 RESULT: framework=cyclonedds scenario=lifespan_expiry role=server pause_s=1.500 recv=180 lost=70 loss_pct=28.0 
A lifespan_pause_1_5 rep1 fastdds | leftover_before=none | RESULT: framework=fastdds scenario=lifespan_expiry role=client sent=250 RESULT: framework=fastdds scenario=lifespan_expiry role=server pause_s=1.500 recv=185 lost=65 loss_pct=26.0 
A lifespan_pause_1_5 rep2 tickle | leftover_before=none | RESULT: framework=tickle scenario=lifespan_expiry role=client sent=250 RESULT: framework=tickle scenario=lifespan_expiry role=server pause_s=1.50 recv=250 lost=0 loss_pct=0.0 
A lifespan_pause_1_5 rep2 cyclonedds | leftover_before=none | RESULT: framework=cyclonedds scenario=lifespan_expiry role=client sent=250 RESULT: framework=cyclonedds scenario=lifespan_expiry role=server pause_s=1.500 recv=180 lost=70 loss_pct=28.0 
