=== RTT spacing dose-response, 2026-09-25T19:20:16+09:00 ===
harness=4baa3b76  oldcore=9a230a1b  new=4baa3b76  runs=20 per combination

--- building old ---
  core has until_next_event: 0
0  (expect 0 for old, >0 for new)

OLD s=1.0 run16 | sent=5 recv=5 rtt_avg_ms=0.245 rtt_max_ms=0.323 cpu_mhz_mean=1600.0 cpu_mhz_min=1600.0 cpu_mhz_at_rtt_max=1600.0 retransmitted=0 gap_abandoned=0 
OLD s=1.0 run17 | sent=5 recv=5 rtt_avg_ms=0.244 rtt_max_ms=0.339 cpu_mhz_mean=1600.0 cpu_mhz_min=1600.0 cpu_mhz_at_rtt_max=1600.0 retransmitted=0 gap_abandoned=0 
OLD s=1.0 run18 | sent=5 recv=5 rtt_avg_ms=0.238 rtt_max_ms=0.302 cpu_mhz_mean=1600.0 cpu_mhz_min=1600.0 cpu_mhz_at_rtt_max=1600.0 retransmitted=0 gap_abandoned=0 
OLD s=1.0 run19 | sent=5 recv=5 rtt_avg_ms=0.240 rtt_max_ms=0.330 cpu_mhz_mean=1600.0 cpu_mhz_min=1600.0 cpu_mhz_at_rtt_max=1600.0 retransmitted=0 gap_abandoned=0 
OLD s=1.0 run20 | sent=5 recv=5 rtt_avg_ms=0.244 rtt_max_ms=0.347 cpu_mhz_mean=1600.0 cpu_mhz_min=1600.0 cpu_mhz_at_rtt_max=1600.0 retransmitted=0 gap_abandoned=0 

--- building new ---
  core has until_next_event: 11  (expect 0 for old, >0 for new)

NEW s=0.1 IDENT | ppoll=247 sent=100 cpu_mhz_mean=1500.0 
NEW s=0.1 run1 | sent=100 recv=100 rtt_avg_ms=0.212 rtt_max_ms=0.350 cpu_mhz_mean=1500.0 cpu_mhz_min=1500.0 cpu_mhz_at_rtt_max=1500.0 retransmitted=0 gap_abandoned=0 
NEW s=0.1 run2 | sent=100 recv=100 rtt_avg_ms=0.218 rtt_max_ms=0.553 cpu_mhz_mean=1518.0 cpu_mhz_min=1500.0 cpu_mhz_at_rtt_max=1500.0 retransmitted=0 gap_abandoned=0 
NEW s=0.1 run3 | sent=100 recv=100 rtt_avg_ms=0.217 rtt_max_ms=0.506 cpu_mhz_mean=1500.0 cpu_mhz_min=1500.0 cpu_mhz_at_rtt_max=1500.0 retransmitted=0 gap_abandoned=0 
NEW s=0.1 run4 | sent=100 recv=100 rtt_avg_ms=0.215 rtt_max_ms=0.482 cpu_mhz_mean=1500.0 cpu_mhz_min=1500.0 cpu_mhz_at_rtt_max=1500.0 retransmitted=0 gap_abandoned=0 
NEW s=0.1 run5 | sent=100 recv=100 rtt_avg_ms=0.214 rtt_max_ms=0.499 cpu_mhz_mean=1518.0 cpu_mhz_min=1500.0 cpu_mhz_at_rtt_max=1500.0 retransmitted=0 gap_abandoned=0 
NEW s=0.1 run6 | sent=100 recv=100 rtt_avg_ms=0.217 rtt_max_ms=0.387 cpu_mhz_mean=1518.0 cpu_mhz_min=1500.0 cpu_mhz_at_rtt_max=1500.0 retransmitted=0 gap_abandoned=0 
NEW s=0.1 run7 | sent=100 recv=100 rtt_avg_ms=0.213 rtt_max_ms=0.461 cpu_mhz_mean=1500.0 cpu_mhz_min=1500.0 cpu_mhz_at_rtt_max=1500.0 retransmitted=0 gap_abandoned=0 
NEW s=0.1 run8 | sent=100 recv=100 rtt_avg_ms=0.214 rtt_max_ms=0.489 cpu_mhz_mean=1509.0 cpu_mhz_min=1500.0 cpu_mhz_at_rtt_max=1500.0 retransmitted=0 gap_abandoned=0 
NEW s=0.1 run9 | sent=100 recv=100 rtt_avg_ms=0.212 rtt_max_ms=0.445 cpu_mhz_mean=1509.0 cpu_mhz_min=1500.0 cpu_mhz_at_rtt_max=1500.0 retransmitted=0 gap_abandoned=0 
NEW s=0.1 run10 | sent=100 recv=100 rtt_avg_ms=0.211 rtt_max_ms=0.294 cpu_mhz_mean=1500.0 cpu_mhz_min=1500.0 cpu_mhz_at_rtt_max=1500.0 retransmitted=0 gap_abandoned=0 
