=== rmw cross-host RTT, 2026-09-27T00:30:39+09:00, SHA 5b4fdc84a104c61f1acc00badbe0564ab2c206bc, 3 reps, msgs: bench array1k, spin arms: off, trace: 0, waits: poll block, poll sleeps: default, sysstamp arms: off, bpf arms: off, executor-poll arms: off on, rmws: rmw_tickle ===
--- building rmw_tickle + rmw_perf_pingpong (Release) at 5b4fdc84a104c61f1acc00badbe0564ab2c206bc on both rpis ---
built on tickle-testbed-rpi-0 at 5b4fdc84
built on tickle-testbed-rpi-1 at 5b4fdc84
rmw_tickle bench reliable rep2 wait=poll execpoll=on | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.457 rtt_avg_ms=0.506 rtt_max_ms=0.736 LOOP: poll_sleep_us=100 iterations_per_rtt=3.01 spin_some_us=6.1 sleep_us=156.3 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=35128849 pong_maxrss_kb=11816
rmw_tickle bench reliable rep2 wait=block execpoll=off | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.235 rtt_avg_ms=0.249 rtt_max_ms=0.528 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.01 ping_maxrss_kb=11392  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.02 pong_cpu_ns=34292616 pong_maxrss_kb=11812
rmw_tickle bench reliable rep2 wait=block execpoll=on | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.220 rtt_avg_ms=0.240 rtt_max_ms=0.466 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.00 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=36054556 pong_maxrss_kb=11812
rmw_tickle array1k best_effort rep2 wait=poll execpoll=off | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.463 rtt_avg_ms=0.510 rtt_max_ms=0.826 LOOP: poll_sleep_us=100 iterations_per_rtt=3.03 spin_some_us=6.1 sleep_us=156.6 ping_utime_s=0.00 ping_stime_s=0.03 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=35798084 pong_maxrss_kb=11796
rmw_tickle array1k best_effort rep2 wait=poll execpoll=on | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.475 rtt_avg_ms=0.509 rtt_max_ms=0.715 LOOP: poll_sleep_us=100 iterations_per_rtt=3.01 spin_some_us=6.3 sleep_us=157.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=34909453 pong_maxrss_kb=11792
rmw_tickle array1k best_effort rep2 wait=block execpoll=off | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.261 rtt_avg_ms=0.275 rtt_max_ms=0.657 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.01 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=36042030 pong_maxrss_kb=11800
rmw_tickle array1k best_effort rep2 wait=block execpoll=on | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.246 rtt_avg_ms=0.262 rtt_max_ms=0.467 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.00 ping_stime_s=0.02 ping_maxrss_kb=11136  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.02 pong_cpu_ns=34152244 pong_maxrss_kb=11784
rmw_tickle array1k reliable rep2 wait=poll execpoll=off | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.469 rtt_avg_ms=0.510 rtt_max_ms=0.866 LOOP: poll_sleep_us=100 iterations_per_rtt=3.02 spin_some_us=6.3 sleep_us=156.5 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=35100454 pong_maxrss_kb=11820
rmw_tickle array1k reliable rep2 wait=poll execpoll=on | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.465 rtt_avg_ms=0.505 rtt_max_ms=0.737 LOOP: poll_sleep_us=100 iterations_per_rtt=3.01 spin_some_us=5.4 sleep_us=156.3 ping_utime_s=0.00 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=34493497 pong_maxrss_kb=11816
rmw_tickle array1k reliable rep2 wait=block execpoll=off | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.250 rtt_avg_ms=0.273 rtt_max_ms=0.620 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.00 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=35705039 pong_maxrss_kb=11808
