=== rmw cross-host RTT, 2026-09-26T22:50:52+09:00, SHA ec82de1fcbae4bad3c52946af8eaf1ab8c2b883c, 3 reps, msgs: bench array1k, spin arms: off, trace: 0, waits: poll block, poll sleeps: default, sysstamp arms: off, bpf arms: off ===
--- building rmw_tickle + rmw_perf_pingpong (Release) at ec82de1fcbae4bad3c52946af8eaf1ab8c2b883c on both rpis ---
built on tickle-testbed-rpi-0 at ec82de1f
built on tickle-testbed-rpi-1 at ec82de1f
rmw_tickle bench best_effort rep2 wait=poll | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.457 rtt_avg_ms=0.504 rtt_max_ms=0.916 LOOP: poll_sleep_us=100 iterations_per_rtt=3.02 spin_some_us=5.5 sleep_us=155.9 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=35528485 pong_maxrss_kb=11760
rmw_fastrtps_cpp bench best_effort rep2 wait=poll | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.433 rtt_avg_ms=0.484 rtt_max_ms=0.789 LOOP: poll_sleep_us=100 iterations_per_rtt=2.02 spin_some_us=62.7 sleep_us=158.7 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23872  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=56454262 pong_maxrss_kb=23628
rmw_cyclonedds_cpp bench best_effort rep2 wait=poll | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.386 rtt_avg_ms=0.429 rtt_max_ms=0.695 LOOP: poll_sleep_us=100 iterations_per_rtt=2.01 spin_some_us=44.7 sleep_us=156.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=14592  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=42168308 pong_maxrss_kb=14520
rmw_tickle bench best_effort rep2 wait=block | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.228 rtt_avg_ms=0.248 rtt_max_ms=0.581 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=34604788 pong_maxrss_kb=11764
rmw_fastrtps_cpp bench best_effort rep2 wait=block | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.297 rtt_avg_ms=0.321 rtt_max_ms=0.625 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23760  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=56299822 pong_maxrss_kb=23612
rmw_cyclonedds_cpp bench best_effort rep2 wait=block | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.238 rtt_avg_ms=0.274 rtt_max_ms=0.396 LOOP: poll_sleep_us=100 iterations_per_rtt=1.01 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=14720  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=42384059 pong_maxrss_kb=14532
rmw_tickle bench reliable rep2 wait=poll | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.460 rtt_avg_ms=0.505 rtt_max_ms=0.850 LOOP: poll_sleep_us=100 iterations_per_rtt=3.02 spin_some_us=6.0 sleep_us=155.8 ping_utime_s=0.00 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=35160695 pong_maxrss_kb=11792
rmw_fastrtps_cpp bench reliable rep2 wait=poll | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.414 rtt_avg_ms=0.473 rtt_max_ms=0.783 LOOP: poll_sleep_us=100 iterations_per_rtt=2.01 spin_some_us=55.5 sleep_us=158.7 ping_utime_s=0.02 ping_stime_s=0.04 ping_maxrss_kb=23760  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=59005850 pong_maxrss_kb=23628
rmw_cyclonedds_cpp bench reliable rep2 wait=poll | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.393 rtt_avg_ms=0.435 rtt_max_ms=0.977 LOOP: poll_sleep_us=100 iterations_per_rtt=2.03 spin_some_us=42.6 sleep_us=156.0 ping_utime_s=0.02 ping_stime_s=0.03 ping_maxrss_kb=14720  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=47595161 pong_maxrss_kb=14540
rmw_tickle bench reliable rep2 wait=block | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.237 rtt_avg_ms=0.255 rtt_max_ms=0.555 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.00 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.02 pong_cpu_ns=34791849 pong_maxrss_kb=11792
