Attaching 17 probes...
# pong_rx_split v2 tgid 2991553 irq 108
S irq2napi=6278 enq=12704 rd=13630 wk_rx=0 sw_rx=21759 wait=0 rx=24963 rxtid=2991564 wk_ex=0 sw_ex=40704 send=77000
S irq2napi=6241 enq=19130 rd=20148 wk_rx=0 sw_rx=27463 wait=0 rx=30778 rxtid=2991564 wk_ex=0 sw_ex=47278 send=74444
S irq2napi=6203 enq=14333 rd=15333 wk_rx=0 sw_rx=23037 wait=0 rx=25814 rxtid=2991564 wk_ex=0 sw_ex=41870 send=65055
S irq2napi=6093 enq=14537 rd=15537 wk_rx=0 sw_rx=22945 wait=0 rx=25722 rxtid=2991564 wk_ex=0 sw_ex=52444 send=74963
S irq2napi=6574 enq=19778 rd=20722 wk_rx=0 sw_rx=28722 wait=0 rx=31648 rxtid=2991564 wk_ex=0 sw_ex=46963 send=68167
S irq2napi=6167 enq=13704 rd=14759 wk_rx=0 sw_rx=22092 wait=0 rx=25074 rxtid=2991564 wk_ex=0 sw_ex=41259 send=62166















