Attaching 17 probes...
# pong_rx_split v2 tgid 2986739 irq 108
S irq2napi=6388 enq=17797 rd=18908 wk_rx=0 sw_rx=0 wait=0 rx=29519 rxtid=2986750 wk_ex=41278 sw_ex=0 send=75148
S irq2napi=6537 enq=18666 rd=19870 wk_rx=0 sw_rx=0 wait=0 rx=31425 rxtid=2986750 wk_ex=0 sw_ex=0 send=81407
S irq2napi=6315 enq=18278 rd=19352 wk_rx=0 sw_rx=0 wait=0 rx=31315 rxtid=2986750 wk_ex=41722 sw_ex=0 send=72926
S irq2napi=6555 enq=19445 rd=20500 wk_rx=0 sw_rx=28611 wait=0 rx=31870 rxtid=2986750 wk_ex=0 sw_ex=48130 send=75574
S irq2napi=6223 enq=17833 rd=18926 wk_rx=0 sw_rx=27074 wait=0 rx=30185 rxtid=2986750 wk_ex=40000 sw_ex=0 send=70277
S irq2napi=6815 enq=20519 rd=21685 wk_rx=0 sw_rx=0 wait=0 rx=34130 rxtid=2986750 wk_ex=0 sw_ex=0 send=79333
S irq2napi=6500 enq=18000 rd=19055 wk_rx=0 sw_rx=26778 wait=0 rx=30518 rxtid=2986750 wk_ex=42648 sw_ex=0 send=78203
S irq2napi=5963 enq=16555 rd=17574 wk_rx=0 sw_rx=25703 wait=0 rx=29462 rxtid=2986750 wk_ex=0 sw_ex=46499 send=68277
S irq2napi=7315 enq=19203 rd=20500 wk_rx=0 sw_rx=0 wait=0 rx=32203 rxtid=2986750 wk_ex=43759 sw_ex=0 send=75777
S irq2napi=6834 enq=20074 rd=21259 wk_rx=0 sw_rx=0 wait=0 rx=33259 rxtid=2986750 wk_ex=0 sw_ex=0 send=81036
S irq2napi=6944 enq=20463 rd=21537 wk_rx=0 sw_rx=0 wait=0 rx=33537 rxtid=2986750 wk_ex=45796 sw_ex=0 send=81536
S irq2napi=6463 enq=17537 rd=18630 wk_rx=0 sw_rx=0 wait=0 rx=29500 rxtid=2986750 wk_ex=0 sw_ex=0 send=81629
S irq2napi=6463 enq=20648 rd=21685 wk_rx=0 sw_rx=0 wait=0 rx=33629 rxtid=2986750 wk_ex=45166 sw_ex=0 send=76573
S irq2napi=9074 enq=18389 rd=19481 wk_rx=0 sw_rx=27722 wait=0 rx=30574 rxtid=2986750 wk_ex=0 sw_ex=47259 send=69444
S irq2napi=6888 enq=16908 rd=18019 wk_rx=0 sw_rx=25982 wait=0 rx=29815 rxtid=2986750 wk_ex=40130 sw_ex=0 send=69018
